"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","location_type","parent_station","wheelchair_boarding","platform_code","zone_id"
"de:03151:1030","","Wahrenholz Bahnhof",,"52.608042000000","10.607221000000",0,,0,"","11-11|VRB-VRB|Wahrenholz-4011"
"de:01060:37977","","Wakendorf",,"53.866266000000","10.365956000000",0,,0,"","724-298"
"de:03353:8003929","","Meckelfeld",,"53.423911000000","10.030463000000",0,,0,"","9900-96|HVV-HVV|HVV Zone Ring B-HVV-RB"
"de:03355:8004227","","Neetzendorf",,"53.163784000000","10.760576000000",0,,0,"","HVV-HVV|HVV Zone 917-HVV-917"
"de:08115:4512","","Herrenberg",,"48.594221000000","8.863459000000",0,,0,"",""
"de:01054:28645","","Friedrichstadt",,"54.377850000000","9.079185000000",0,,0,"","1300-1302"
"de:01051:86484","","St.Michaelisdonn",,"53.989580000000","9.118028000000",0,,0,"","2710-2712"
"de:08111:6002","","Stuttgart-Vaihingen",,"48.726279000000","9.113226000000",0,,0,"",""
"de:03359:8002843","","Himmelpforten",,"53.623228000000","9.310860000000",0,,0,"","HVV-HVV|HVV Zone 919-HVV-919"
"de:16056:8011468","","Eisenach(Thür) West",,"50.978902000000","10.304740000000",0,,0,"",""
"de:01060:37992","","Lentföhrden",,"53.876909000000","9.889835000000",0,,0,"","703-244"
"de:01060:37991","","Bad Bramstedt Kurhaus",,"53.903365000000","9.890420000000",0,,0,"","803-355"
"de:01054:53380","","Langenhorn(Schlesw)",,"54.686024000000","8.946371000000",0,,0,"","1190-1192"
"de:01060:37960","","Kaltenkirchen(Holst)",,"53.834417000000","9.966825000000",0,,0,"","617-188"
"de:01060:37993","","Nützen",,"53.863663000000","9.916749000000",0,,0,"","703-245"
"de:01060:37962","","Ulzburg-Süd",,"53.773460000000","9.972892000000",0,,0,"","604-160"
"de:01060:37961","","Henstedt-Ulzburg",,"53.795121000000","9.982182000000",0,,0,"","604-157"
"de:01056:37964","","Ellerau",,"53.750144000000","9.923374000000",0,,0,"","503-80|HVV-HVV|HVV Zone AB-HVV-AB"
"de:01060:37963","","Ellerau Tanneneck",,"53.755327000000","9.943297000000",0,,0,"","503-83|HVV-HVV|HVV Zone AB-HVV-AB"
"de:03460:43174","","Holdorf(Oldb)",,"52.574816000000","8.138050000000",0,,0,"","Holdorf(Oldb)-HOL"
"de:03158:3030","","Schöppenstedt Bahnhof",,"52.140754000000","10.772013000000",0,,0,"","73-73|Schöppenstedt-4073|VRB-VRB"
"de:01060:37981","","Bad Bramstedt",,"53.920593000000","9.890162000000",0,,0,"","843-354"
"de:03255:43630","","Holzminden",,"51.820005000000","9.453623000000",0,,0,"","Holzminden-500|Holzminden-3500|VSN-VSN"
"de:01060:37990","","Wiemersdorf",,"53.954628000000","9.916483000000",0,,0,"","803-368"
"de:05774:9028","","Sennelager",,"51.770240000000","8.713704000000",0,,0,"",""
"de:05711:9024","","Sennestadt",,"51.940582000000","8.567477000000",0,,0,"",""
"de:01054:49993","","Klanxbüll",,"54.862340000000","8.675999000000",0,,0,"","1150-1154"
"de:03353:8003309","","Klecken",,"53.366234000000","9.928964000000",0,,0,"","9900-554|HVV-HVV|HVV Zone Ring B-HVV-RB"
"de:04011:13794","","Bremen-Burg(Bahn)",,"53.160707000000","8.704723000000",0,,0,"","101-101|Bremen-1100|VBN-VBN"
"de:04011:14318","","Bremen-Hemelingen",,"53.054445000000","8.886838000000",0,,0,"","100-100|Bremen-1100|VBN-VBN"
"de:04011:14095","","Bremen Neustadt",,"53.075986000000","8.785956000000",0,,0,"","100-100|Bremen-1100|VBN-VBN"
"de:04011:14321","","Bremen-Lesum",,"53.170716000000","8.686069000000",0,,0,"","101-101|Bremen-1100|VBN-VBN"
"de:03257:398","","Lindhorst(b Stadthagen)",,"52.354320000000","9.288867000000",0,,0,"","4-4|Lindhorst-LIH"
